epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16143,0.78091,2.80365,1.16858,0.00333,1,0.73911,0.66222,0.25946,3.13979,0.90835,0.00016,0.00016,0.00016
2,16.1472,0.71346,1.86708,1.08636,1,0.78748,0.94167,0.88,0.37387,2.51225,0.91099,0.00032878,0.00032878,0.00032878
3,24.0536,0.7224,1.57488,1.09271,1,0.80963,0.955,0.87294,0.33828,2.37534,0.89883,0.00048568,0.00048568,0.00048568
4,31.7994,0.67449,1.47354,1.05788,1,0.82821,0.995,0.89631,0.41285,2.35407,0.90779,0.0006307,0.0006307,0.0006307
5,39.427,0.78221,1.56497,1.0803,0.9957,1,0.995,0.88858,0.51138,2.04842,0.92276,0.00076384,0.00076384,0.00076384
6,47.1459,0.77019,1.3449,1.10586,1,0.99876,0.995,0.92082,0.47682,1.70722,0.95556,0.0008851,0.0008851,0.0008851
7,54.8682,0.69987,1.28538,1.01241,0.99019,1,0.995,0.88367,0.47088,1.77071,0.94042,0.00099448,0.00099448,0.00099448
8,62.4722,0.81967,1.3565,1.08414,0.85562,0.98934,0.97214,0.86456,0.52106,1.66217,0.97227,0.00109198,0.00109198,0.00109198
9,70.106,0.72329,1.15261,1.02257,0.98687,0.83333,0.97214,0.80961,0.59449,1.8078,1.00513,0.0011776,0.0011776,0.0011776
10,77.8821,0.73128,1.21993,1.08356,0.99998,1,0.995,0.86906,0.59569,1.60707,1.01733,0.00125134,0.00125134,0.00125134
11,85.5807,0.70829,1.12485,1.0103,0.99374,1,0.995,0.85524,0.59556,1.5206,1.0008,0.0013132,0.0013132,0.0013132
12,93.2743,0.74299,1.1883,1.06679,0.99067,1,0.995,0.86908,0.57513,1.35334,0.98304,0.001274,0.001274,0.001274
13,100.954,0.68915,1.07705,1.03188,0.99128,1,0.995,0.83988,0.61274,1.30114,0.99929,0.001208,0.001208,0.001208
