epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.012,0.79436,2.28452,1.15754,0.94952,1,0.99167,0.98784,0.15824,0.67319,0.79919,4e-05,4e-05,4e-05
2,258.547,0.54322,1.11476,1.04161,0.50156,1,0.99333,0.77565,0.50292,3.45132,0.93555,9.01e-05,9.01e-05,9.01e-05
3,379.335,0.54773,1.03411,1.01778,0.59259,0.69565,0.57614,0.39866,0.65578,14.5299,1.13324,0.00012832,0.00012832,0.00012832
4,516.068,0.65526,1.07347,1.02466,0.55556,0.43478,0.62173,0.51304,0.44837,11.7582,1.00432,0.00015466,0.00015466,0.00015466
5,657.278,0.60601,0.74071,0.97354,0.73439,0.95652,0.94667,0.80462,0.51112,2.75209,1.16517,0.00016912,0.00016912,0.00016912
6,799.516,0.61125,0.75988,0.99592,0.80723,0.95652,0.9572,0.80866,0.56121,1.68605,1.11677,0.0001717,0.0001717,0.0001717
7,974.234,0.60665,0.66774,1.00767,0.73547,1,0.95615,0.77041,0.51016,2.52584,1.05486,0.0001624,0.0001624,0.0001624
8,1112.21,0.52634,0.61099,0.95437,0.84801,1,0.95341,0.76,0.60181,2.19313,1.11842,0.00014122,0.00014122,0.00014122
9,1258.9,0.46938,0.52801,0.96664,0.78674,0.96256,0.91924,0.78058,0.568,1.98268,1.14848,0.00010816,0.00010816,0.00010816
10,1395.1,0.4788,0.55516,0.93523,0.8075,0.95652,0.93735,0.81524,0.52756,1.65786,1.1058,6.322e-05,6.322e-05,6.322e-05
