epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16982,0.76476,2.77243,1.15675,0.00667,1,0.31629,0.13909,1.02898,3.40163,1.27246,0,0,0
2,6.41204,1.65718,2.87799,1.59941,0.00667,1,0.33135,0.14941,0.98991,3.38407,1.2685,1.934e-05,1.934e-05,1.934e-05
3,9.17929,0.89815,2.73068,1.18287,0.00667,1,0.34998,0.13627,0.91049,3.28428,1.26084,3.736e-05,3.736e-05,3.736e-05
4,11.7361,0.96649,2.65006,1.2397,0.00667,1,0.29135,0.13415,0.91491,3.15054,1.22872,5.406e-05,5.406e-05,5.406e-05
5,14.0305,1.02339,2.54386,1.29314,0.00667,1,0.42524,0.19302,0.90384,2.97618,1.18586,6.944e-05,6.944e-05,6.944e-05
6,15.7275,0.86021,2.40838,1.19423,0.00667,1,0.58,0.2832,0.85033,2.84876,1.15671,8.35e-05,8.35e-05,8.35e-05
7,17.5795,1.52305,2.83654,1.59801,0.00667,1,0.945,0.53877,0.8604,2.79602,1.1515,9.624e-05,9.624e-05,9.624e-05
8,19.9335,0.85569,2.24289,1.0764,0.00667,1,0.91167,0.47777,0.89757,2.7897,1.14105,0.00010766,0.00010766,0.00010766
9,22.1421,0.57204,1.99351,1.0016,0.00667,1,0.88786,0.50373,0.96981,2.7948,1.14523,0.00011776,0.00011776,0.00011776
10,24.3746,0.76598,1.81769,1.10988,0.00667,1,0.78786,0.41493,1.05001,2.73852,1.16302,0.00012654,0.00012654,0.00012654
11,26.6824,0.65522,1.80319,1.00901,0.00667,1,0.77,0.41096,1.20434,2.68864,1.16611,0.000134,0.000134,0.000134
12,28.9701,0.74926,1.69576,1.01367,0.00667,1,0.70452,0.47431,1.18819,2.6003,1.1714,0.00014014,0.00014014,0.00014014
13,31.2504,0.67846,1.43952,1.01941,0.00667,1,0.68667,0.46975,1.14781,2.53753,1.17008,0.00014496,0.00014496,0.00014496
14,33.6775,0.8171,1.45246,1.08233,0.00667,1,0.70452,0.52641,1.12319,2.49119,1.21548,0.00014846,0.00014846,0.00014846
15,35.9891,0.80459,1.50342,1.10649,0.00667,1,0.70452,0.52641,1.12319,2.49119,1.21548,0.00015064,0.00015064,0.00015064
16,38.3853,0.74765,1.69692,1.09891,0.00801,1,0.67,0.51499,0.97228,2.38126,1.23552,0.0001515,0.0001515,0.0001515
17,40.2603,0.61785,1.26642,0.94382,0.00801,1,0.67,0.51499,0.97228,2.38126,1.23552,0.00015104,0.00015104,0.00015104
18,42.0918,0.52868,1.19627,0.95174,0.0926,1,0.78667,0.54128,0.92326,2.37385,1.26534,0.00014926,0.00014926,0.00014926
19,44.118,0.79182,1.43114,1.05262,0.0926,1,0.78667,0.54128,0.92326,2.37385,1.26534,0.00014616,0.00014616,0.00014616
20,46.4213,0.65171,1.2321,0.99702,0.38842,1,0.895,0.5407,0.98089,2.30622,1.26528,0.00014174,0.00014174,0.00014174
21,48.5086,0.71009,1.76104,1.04832,0.38842,1,0.895,0.5407,0.98089,2.30622,1.26528,0.000136,0.000136,0.000136
22,50.7345,0.90293,1.80194,1.21984,0.43901,1,0.895,0.54397,1.01683,2.24717,1.29481,0.00012894,0.00012894,0.00012894
23,53.3928,0.82803,1.69376,1.03527,0.43901,1,0.895,0.54397,1.01683,2.24717,1.29481,0.00012056,0.00012056,0.00012056
24,56.0312,1.00232,1.83145,1.2789,0.45248,1,0.845,0.54544,1.11123,2.21497,1.33319,0.00011086,0.00011086,0.00011086
25,58.2422,0.65901,1.37283,1.02438,0.45248,1,0.845,0.54544,1.11123,2.21497,1.33319,9.984e-05,9.984e-05,9.984e-05
26,60.2681,0.77472,1.50346,1.00512,0.45134,1,0.845,0.56973,1.08488,2.23305,1.33504,8.75e-05,8.75e-05,8.75e-05
27,62.2901,0.64749,1.30174,0.96267,0.45134,1,0.845,0.56973,1.08488,2.23305,1.33504,7.384e-05,7.384e-05,7.384e-05
28,64.4256,0.57544,1.24794,0.97484,0.50961,1,0.845,0.56973,1.08157,2.1976,1.3075,5.886e-05,5.886e-05,5.886e-05
29,66.3564,0.58273,1.28256,0.97441,0.50961,1,0.845,0.56973,1.08157,2.1976,1.3075,4.256e-05,4.256e-05,4.256e-05
30,68.0926,0.8315,1.25004,0.99687,0.54622,1,0.845,0.59973,1.07047,2.18849,1.2749,2.494e-05,2.494e-05,2.494e-05
