epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8724,0.92935,3.14689,1.24442,0.72166,0.5,0.24875,0.22387,1.19267,6.6669,1.39368,5.001e-05,5.001e-05,5.001e-05
2,54.2619,0.54262,1.66818,0.96903,0.62016,0.5,0.25957,0.23028,1.11157,11.862,1.20553,0.000110914,0.000110914,0.000110914
3,80.7956,0.73664,1.48373,1.08612,0.59324,0.5,0.12918,0.09992,1.13708,8.7556,1.15698,0.000165216,0.000165216,0.000165216
4,108.427,0.55477,1.14862,1.03769,0.20366,0.5,0.25413,0.11001,1.36212,16.5965,1.16466,0.000212918,0.000212918,0.000212918
5,136.286,0.68247,1.44537,1.0534,0.02257,0.5,0.07177,0.0216,2.18565,82.9007,2.0462,0.000254017,0.000254017,0.000254017
6,163.937,0.64538,1.34816,1.00712,0.66667,0.5,0.4994,0.07543,2.2539,123.111,2.12531,0.000288516,0.000288516,0.000288516
7,192.573,0.78876,1.3748,1.11848,0.00491,0.5,0.00619,0.00436,2.28243,297.751,2.07308,0.000316413,0.000316413,0.000316413
8,220.296,0.79578,1.89117,1.05937,0.00502,0.5,0.00614,0.00369,1.97098,229.696,2.70419,0.000337709,0.000337709,0.000337709
9,248.011,0.7217,1.28374,1.06161,0.00632,0.5,0.01605,0.00688,2.18896,212.397,3.1066,0.000352404,0.000352404,0.000352404
10,275.696,0.68277,1.20216,0.95379,0.01042,0.5,0.07107,0.02548,2.01962,100.876,2.8364,0.000360497,0.000360497,0.000360497
11,301.349,0.67212,1.40688,1.0216,0.51668,0.5,0.06219,0.02285,1.97649,60.2396,2.44892,0.000361989,0.000361989,0.000361989
12,329.268,0.67123,1.44278,0.9728,0.05762,0.75,0.04638,0.02015,2.14,92.7476,2.04875,0.00035688,0.00035688,0.00035688
13,356.739,0.66621,1.2895,0.97075,0.0133,0.5,0.05182,0.0209,2.45828,98.9066,3.97632,0.000345169,0.000345169,0.000345169
14,382.976,0.58117,1.00304,0.93255,0.04671,0.5,0.07361,0.01222,2.87711,17.4621,3.55644,0.000326857,0.000326857,0.000326857
15,405.231,0.66213,1.17006,1.00728,0.19712,0.75,0.63556,0.18711,2.93505,23.7778,3.15732,0.000301944,0.000301944,0.000301944
16,431.729,0.61594,1.06449,0.99204,0.19712,0.75,0.63556,0.18711,2.93505,23.7778,3.15732,0.000270429,0.000270429,0.000270429
17,459.856,0.5499,1.02244,0.96855,0.2535,0.75,0.52958,0.1785,2.34746,21.9757,2.28164,0.000232313,0.000232313,0.000232313
18,487.586,0.4968,0.99415,0.91469,0.22074,0.75,0.49885,0.29843,1.62807,10.9802,1.67609,0.000187596,0.000187596,0.000187596
19,516.971,0.4616,0.78557,0.95037,0.22074,0.75,0.49885,0.29843,1.62807,10.9802,1.67609,0.000136277,0.000136277,0.000136277
20,543.639,0.48894,0.95834,0.93108,0.35478,0.75,0.49842,0.27371,1.54431,6.68206,1.60755,7.83573e-05,7.83573e-05,7.83573e-05
