epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2652,1.18371,2.67734,1.32789,0.00852,1,0.36882,0.24219,0.27692,2.56558,0.84972,4e-05,4e-05,4e-05
2,31.5373,0.88067,2.56848,1.19312,0.00852,1,0.62053,0.46216,0.3087,2.55707,0.85214,9.505e-05,9.505e-05,9.505e-05
3,46.5892,0.66511,2.38168,1.03661,0.00852,1,0.92472,0.71063,0.29821,2.54319,0.83931,0.00014416,0.00014416,0.00014416
4,62.3982,0.60834,2.25491,1.03546,0.00852,1,0.81905,0.67016,0.49814,2.55916,0.91673,0.00018733,0.00018733,0.00018733
5,82.7258,0.63327,2.00577,1.05771,0.00852,1,0.82304,0.67877,0.4677,2.53736,0.88572,0.00022456,0.00022456,0.00022456
6,98.7396,0.63168,1.85206,0.9721,0.00852,1,0.81602,0.67843,0.45664,2.5125,0.89439,0.00025585,0.00025585,0.00025585
7,113.827,0.64827,1.75848,1.01739,0.00852,1,0.90749,0.78905,0.4261,2.46004,0.88197,0.0002812,0.0002812,0.0002812
8,128.965,0.62262,1.68209,0.99158,0.00852,1,0.95292,0.85729,0.4143,2.43172,0.88269,0.00030061,0.00030061,0.00030061
9,144.001,0.65596,1.62736,1.02196,0.00852,1,0.97706,0.87026,0.3793,2.37799,0.85602,0.00031408,0.00031408,0.00031408
10,159.236,0.63659,1.52095,1.01259,0.00852,1,0.98733,0.86687,0.41452,2.35999,0.87764,0.00032161,0.00032161,0.00032161
11,173.894,0.59067,1.29559,1.01166,0.00852,1,0.995,0.86517,0.42944,2.31368,0.88121,0.0003232,0.0003232,0.0003232
12,188.579,0.59572,1.14914,0.94844,0.00852,1,0.995,0.83351,0.50913,2.28665,0.92325,0.00031885,0.00031885,0.00031885
13,203.305,0.58224,1.05468,0.94055,0.7529,1,0.995,0.88228,0.46734,2.19243,0.89896,0.00030856,0.00030856,0.00030856
14,218.078,0.57473,1.12946,0.98409,0.99958,1,0.995,0.87705,0.41162,2.15365,0.87751,0.00029233,0.00029233,0.00029233
15,232.414,0.59228,0.94844,0.96876,1,0.87043,0.995,0.87497,0.41602,2.10278,0.89956,0.00027016,0.00027016,0.00027016
16,247.138,0.55319,1.04401,0.98749,1,0.80477,0.995,0.86181,0.46999,2.06632,0.91516,0.00024205,0.00024205,0.00024205
17,261.917,0.54148,1.00895,0.9549,1,0.86407,0.995,0.84698,0.54598,1.98151,0.95327,0.000208,0.000208,0.000208
18,276.816,0.59395,1.12154,1.06054,1,0.96487,0.995,0.85805,0.52465,1.91927,0.9513,0.00016801,0.00016801,0.00016801
19,291.271,0.51743,1.00456,0.94371,1,0.98919,0.995,0.87078,0.48476,1.85896,0.94028,0.00012208,0.00012208,0.00012208
20,305.704,0.53234,0.96387,0.91668,0.99672,1,0.995,0.87911,0.46347,1.81356,0.93161,7.021e-05,7.021e-05,7.021e-05
