epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.902,0.88901,2.57723,1.24406,0.99302,1,0.995,0.9766,0.21088,0.51066,0.83234,4e-05,4e-05,4e-05
2,273.158,0.62213,0.95821,1.10558,0.69258,1,0.96194,0.90017,0.39577,4.04064,0.92828,9.505e-05,9.505e-05,9.505e-05
3,414.957,0.58186,0.8827,1.04679,1,0.43478,0.8226,0.65571,0.76568,10.6815,1.39972,0.00014416,0.00014416,0.00014416
4,557.967,0.59112,0.96466,1.09044,1,0.56522,0.83724,0.6509,0.59505,9.78808,1.1747,0.00018733,0.00018733,0.00018733
5,694.494,0.60199,0.68788,1.07545,1,0.95652,0.99333,0.70006,0.57981,8.72778,1.19405,0.00022456,0.00022456,0.00022456
6,840.262,0.60898,0.73281,1.02364,1,0.69565,0.82581,0.65089,0.74527,10.7329,1.46156,0.00025585,0.00025585,0.00025585
7,983.08,0.61545,0.82514,1.06325,0.61538,0.69565,0.71887,0.51577,0.69674,29.7576,1.37098,0.0002812,0.0002812,0.0002812
8,1117.89,0.55275,0.64034,0.98977,0.7037,0.82609,0.79735,0.45203,0.65282,21.5035,1.53062,0.00030061,0.00030061,0.00030061
9,1258.51,0.64496,0.95502,1.08297,0.93333,0.6087,0.81768,0.48367,1.10038,14.5014,2.24816,0.00031408,0.00031408,0.00031408
10,1391.12,0.58787,0.61431,1.04857,0.44579,1,0.85937,0.591,0.84348,6.3793,1.7844,0.00032161,0.00032161,0.00032161
11,1518.07,0.63874,0.80446,1.08353,0.75,0.52174,0.71214,0.37529,0.80139,11.3995,1.64669,0.0003232,0.0003232,0.0003232
12,1643.13,0.57594,0.74648,1.0033,0.65058,1,0.86547,0.57772,0.79666,4.60632,1.44195,0.00031885,0.00031885,0.00031885
13,1769.99,0.57873,0.68279,1.00483,0.79233,0.95652,0.96704,0.74335,0.7769,2.93759,1.35386,0.00030856,0.00030856,0.00030856
14,1893.42,0.60684,0.73757,1.05341,0.48859,1,0.96558,0.71904,0.70441,5.19731,1.37111,0.00029233,0.00029233,0.00029233
15,2038.95,0.57478,0.59885,1.04096,0.18182,0.17391,0.28938,0.23137,0.64686,28.8338,1.39678,0.00027016,0.00027016,0.00027016
16,2167.89,0.54322,0.63334,1.08961,0.12,0.26087,0.17852,0.14956,0.51629,30.2368,1.17481,0.00024205,0.00024205,0.00024205
17,2296.13,0.55022,0.59307,1.01932,0.58142,1,0.98079,0.79188,0.57884,3.49579,1.26381,0.000208,0.000208,0.000208
18,2420.35,0.57003,0.6345,1.12354,0.82195,1,0.995,0.81371,0.56095,2.59237,1.24866,0.00016801,0.00016801,0.00016801
19,2544.73,0.49969,0.52298,0.98729,0.84117,1,0.97708,0.78596,0.57036,2.02402,1.32228,0.00012208,0.00012208,0.00012208
20,2668,0.51487,0.55092,0.96036,0.82023,1,0.97031,0.79327,0.5526,1.59052,1.22559,7.021e-05,7.021e-05,7.021e-05
