epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.958,1.46211,4.4441,1.75378,0.00397,0.67262,0.04357,0.02345,1.42453,5.17613,1.8517,9.375e-05,9.375e-05,9.375e-05
2,326.239,1.32574,4.15971,1.62739,0.00537,0.76984,0.09993,0.0556,1.37733,5.06319,1.75093,0.000186077,0.000186077,0.000186077
3,479.558,1.31542,3.92948,1.63271,0.94797,0.06749,0.17909,0.12732,1.41806,4.80221,1.71662,0.000270485,0.000270485,0.000270485
4,636.77,1.26715,3.62584,1.60168,0.96342,0.03625,0.23669,0.15378,1.54768,4.60766,1.84916,0.000346973,0.000346973,0.000346973
5,802.027,1.33939,3.37045,1.60196,0.82856,0.11462,0.22536,0.13848,1.65824,4.6406,1.85604,0.00041554,0.00041554,0.00041554
6,972.416,1.27199,3.21391,1.54381,0.56801,0.26042,0.28957,0.15962,1.78504,4.26045,2.17234,0.000476188,0.000476188,0.000476188
7,1142.81,1.26072,3.26648,1.54745,0.73375,0.26257,0.28976,0.18773,1.59079,4.28597,2.00653,0.0004765,0.0004765,0.0004765
8,1305.95,1.22831,3.07446,1.53296,0.30736,0.35928,0.32152,0.18952,1.65002,4.26246,2.12051,0.00045175,0.00045175,0.00045175
9,1466.22,1.2359,2.95814,1.54499,0.49046,0.30225,0.32246,0.18359,1.74169,6.2457,2.20295,0.000427,0.000427,0.000427
10,1621.98,1.1912,2.86308,1.48724,0.57308,0.30718,0.3668,0.21519,1.53916,3.98753,1.83265,0.00040225,0.00040225,0.00040225
11,1779.46,1.17381,2.85945,1.45666,0.31235,0.42937,0.36593,0.21482,1.45208,3.80735,1.69424,0.0003775,0.0003775,0.0003775
12,1938.84,1.1559,2.78513,1.44923,0.37596,0.4498,0.43542,0.23693,1.47114,3.98126,1.77504,0.00035275,0.00035275,0.00035275
13,2113.45,1.14721,2.78105,1.42933,0.65256,0.4358,0.44966,0.25833,1.54533,3.75064,1.88575,0.000328,0.000328,0.000328
14,2287.19,1.10938,2.5296,1.37307,0.49103,0.4914,0.49373,0.29156,1.46258,3.51044,1.8214,0.00030325,0.00030325,0.00030325
15,2475.86,1.13928,2.49559,1.409,0.63942,0.46591,0.47757,0.27054,1.53203,3.30568,1.88675,0.0002785,0.0002785,0.0002785
16,2674.71,1.06707,2.80409,1.46347,0.62393,0.42023,0.50017,0.28749,1.48511,3.33521,1.89156,0.00025375,0.00025375,0.00025375
17,2858.69,1.02719,2.7261,1.39972,0.6402,0.53064,0.55615,0.34193,1.40859,3.147,1.75398,0.000229,0.000229,0.000229
18,3043.55,1.02341,2.59226,1.40254,0.55311,0.55465,0.58086,0.37496,1.30666,3.02016,1.641,0.00020425,0.00020425,0.00020425
19,3236.31,0.95231,2.48702,1.3471,0.63308,0.52545,0.57843,0.3578,1.33284,3.07563,1.71746,0.0001795,0.0001795,0.0001795
20,3415.55,0.93567,2.35427,1.31017,0.60142,0.48878,0.55215,0.35486,1.33253,3.07606,1.69969,0.00015475,0.00015475,0.00015475
21,3603.93,0.87676,2.2548,1.28814,0.54212,0.57417,0.60477,0.38271,1.29252,3.04281,1.60818,0.00013,0.00013,0.00013
22,3788.71,0.87529,2.26105,1.29246,0.68651,0.54727,0.60927,0.37134,1.34183,3.01021,1.62558,0.00010525,0.00010525,0.00010525
23,3977.51,0.84575,2.18088,1.23079,0.65117,0.53171,0.63254,0.39735,1.36918,2.99581,1.67777,8.05e-05,8.05e-05,8.05e-05
24,4150.24,0.84808,2.18762,1.2694,0.68041,0.55966,0.63665,0.38885,1.36436,2.95154,1.70788,5.575e-05,5.575e-05,5.575e-05
25,4322.55,0.79055,2.11183,1.22189,0.61661,0.59371,0.62108,0.39788,1.34644,2.95435,1.69259,3.1e-05,3.1e-05,3.1e-05
