epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.592,0.58112,1.97316,1.01791,0.55821,1,0.96402,0.8051,0.50814,3.16611,1.01319,8e-05,8e-05,8e-05
2,456.395,0.45853,0.79769,0.94536,1,0.82609,0.97386,0.86615,0.38323,5.36437,0.9112,0.00017406,0.00017406,0.00017406
3,676.617,0.51169,0.71316,0.95839,0.83333,0.43478,0.83987,0.6767,0.66833,10.126,1.24061,0.00026152,0.00026152,0.00026152
4,908.511,0.60957,0.88674,1.02971,0.17424,1,0.26726,0.23196,0.67898,68.9328,1.43693,0.00034238,0.00034238,0.00034238
5,1129.98,0.59837,0.79203,1.0175,0.55,0.95652,0.64332,0.49137,0.66455,25.046,1.96781,0.00041664,0.00041664,0.00041664
6,1370.76,0.62443,0.83231,1.00106,0.31081,1,0.38905,0.31126,0.68745,50.1079,2.06386,0.0004843,0.0004843,0.0004843
7,1619.23,0.57876,0.63051,1.00682,0.01575,0.95652,0.01689,0.00633,1.81399,1341.85,4.90674,0.00054536,0.00054536,0.00054536
8,1855.45,0.64111,0.70943,1.05342,0.01412,0.91304,0.01426,0.00471,2.39483,2134.26,8.31101,0.00059982,0.00059982,0.00059982
9,2095.25,0.66491,0.7669,1.08986,0.22388,0.65217,0.39688,0.1799,1.52175,67.9387,5.6687,0.00064768,0.00064768,0.00064768
10,2330.62,0.72575,0.6963,1.10753,0.02151,0.17391,0.02162,0.00819,2.1495,154.79,4.78229,0.00068894,0.00068894,0.00068894
11,2561.98,0.72172,0.70175,1.10584,0.00932,0.56522,0.00779,0.00177,3.41468,1133.96,7.36557,0.0007236,0.0007236,0.0007236
12,2780.8,0.61347,0.58481,1.02546,0.00801,0.52174,0.00641,0.00203,3.37732,6992.39,50.8817,0.00075166,0.00075166,0.00075166
13,2997.11,0.57631,0.5365,0.98375,0.01166,0.47826,0.01016,0.00349,3.35567,2131.49,110.125,0.00077312,0.00077312,0.00077312
14,3223.8,0.56939,0.53964,0.9895,0.09259,0.21739,0.03466,0.0174,1.62168,128.174,2.96257,0.00078798,0.00078798,0.00078798
15,3443.77,0.54531,0.52118,0.99753,0.00976,0.78261,0.00886,0.00545,1.28042,1808.9,3.69951,0.00079624,0.00079624,0.00079624
16,3660.86,0.63421,0.57971,1.0401,0.18919,0.30435,0.15357,0.10681,0.84142,49.6427,1.89593,0.0007979,0.0007979,0.0007979
17,3892.61,0.63649,0.69552,1.05273,0.00217,0.21739,0.00129,0.00045,2.70659,5580.06,16.1066,0.00079296,0.00079296,0.00079296
18,4120.35,0.59794,0.53253,1.0079,0.00602,0.56522,0.00454,0.00212,3.02822,1722.51,10.9426,0.00078142,0.00078142,0.00078142
19,4337.9,0.54999,0.53592,1.00342,0.2,0.08696,0.12545,0.02734,2.35528,200.188,3.94097,0.00076328,0.00076328,0.00076328
20,4555.36,0.5981,0.52828,1.05326,1,0.13043,0.39874,0.26946,1.05411,12.2518,1.70949,0.00073854,0.00073854,0.00073854
21,4768.52,0.51086,0.58387,0.97113,0.60587,0.78261,0.74173,0.53942,0.66261,3.35598,1.35664,0.00068,0.00068,0.00068
22,4987.34,0.47251,0.50966,0.97202,0.7393,0.86328,0.83988,0.59719,0.75705,2.41436,1.5081,0.000614,0.000614,0.000614
23,5208.53,0.51619,0.54396,0.95134,0.8019,0.88029,0.92922,0.7431,0.59379,2.15499,1.38565,0.000548,0.000548,0.000548
24,5427.79,0.47201,0.52081,0.95872,0.97711,0.95652,0.99038,0.84791,0.49861,1.05296,1.15344,0.000482,0.000482,0.000482
25,5641.55,0.46293,0.44406,0.94378,0.94611,1,0.995,0.85799,0.46879,0.89633,1.11771,0.000416,0.000416,0.000416
26,5860.42,0.43768,0.39805,0.93699,0.94654,1,0.995,0.89835,0.45518,0.76158,1.0374,0.00035,0.00035,0.00035
27,6096.97,0.3999,0.39492,0.90391,0.94996,1,0.995,0.91548,0.43503,0.7132,1.01371,0.000284,0.000284,0.000284
28,6323.51,0.4578,0.46357,0.90828,0.91322,0.95652,0.98394,0.89986,0.36876,0.6667,0.94972,0.000218,0.000218,0.000218
29,6546.94,0.39653,0.42164,0.91909,0.93688,0.95652,0.98786,0.90037,0.3958,0.56207,0.96019,0.000152,0.000152,0.000152
30,6768.57,0.41241,0.37784,0.90135,0.95521,0.95652,0.98786,0.89823,0.38437,0.51588,0.94923,8.6e-05,8.6e-05,8.6e-05
