epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7521,1.18371,2.67734,1.32789,0.00852,1,0.36882,0.24219,0.27692,2.56558,0.84972,4e-05,4e-05,4e-05
2,35.7091,0.88067,2.56848,1.19312,0.00852,1,0.62053,0.46216,0.3087,2.55707,0.85214,9.505e-05,9.505e-05,9.505e-05
3,52.1971,0.66511,2.38168,1.03661,0.00852,1,0.92472,0.71063,0.29821,2.54319,0.83931,0.00014416,0.00014416,0.00014416
4,69.0425,0.60834,2.25491,1.03546,0.00852,1,0.81905,0.67016,0.49814,2.55916,0.91673,0.00018733,0.00018733,0.00018733
5,87.1434,0.63327,2.00577,1.05771,0.00852,1,0.82304,0.67877,0.4677,2.53736,0.88572,0.00022456,0.00022456,0.00022456
6,104.069,0.63168,1.85206,0.9721,0.00852,1,0.81602,0.67843,0.45664,2.5125,0.89439,0.00025585,0.00025585,0.00025585
7,121.315,0.64827,1.75848,1.01739,0.00852,1,0.90749,0.78905,0.4261,2.46004,0.88197,0.0002812,0.0002812,0.0002812
8,137.42,0.62262,1.68209,0.99158,0.00852,1,0.95292,0.85729,0.4143,2.43172,0.88269,0.00030061,0.00030061,0.00030061
9,153.317,0.65596,1.62736,1.02196,0.00852,1,0.97706,0.87026,0.3793,2.37799,0.85602,0.00031408,0.00031408,0.00031408
10,169.196,0.63659,1.52095,1.01259,0.00852,1,0.98733,0.86687,0.41452,2.35999,0.87764,0.00032161,0.00032161,0.00032161
11,187.038,0.59067,1.29559,1.01166,0.00852,1,0.995,0.86517,0.42944,2.31368,0.88121,0.0003232,0.0003232,0.0003232
12,203.6,0.59572,1.14914,0.94844,0.00852,1,0.995,0.83351,0.50913,2.28665,0.92325,0.00031885,0.00031885,0.00031885
13,219.859,0.58224,1.05468,0.94055,0.7529,1,0.995,0.88228,0.46734,2.19243,0.89896,0.00030856,0.00030856,0.00030856
14,236.172,0.57473,1.12946,0.98409,0.99958,1,0.995,0.87705,0.41162,2.15365,0.87751,0.00029233,0.00029233,0.00029233
15,255.259,0.59228,0.94844,0.96876,1,0.87043,0.995,0.87497,0.41602,2.10278,0.89956,0.00027016,0.00027016,0.00027016
16,272.423,0.55319,1.04401,0.98749,1,0.80477,0.995,0.86181,0.46999,2.06632,0.91516,0.00024205,0.00024205,0.00024205
